concept,domain,description,w1_var,w1_scale,harmonized_name,harmonize_to,reverse_waves,notes
age,demographics,Age of respondent,se003a,continuous,age,continuous,none,Standard demographic
country,identifiers,Country name,country,categorical,country_name,categorical,none,Standardize country names
education,demographics,Education level,se005,ordinal,education,ordinal,none,Standard demographic - check coding
org_count_formal,social_capital,Number of formal groups belong to,fgnum,count_0to3,org_count_formal,count,none,W1-W2 only. Count variable 0-3
gender,demographics,Gender/sex,se002,binary,gender,binary,none,Standard demographic
respondent_id,identifiers,Unique respondent ID,idnumber,id,resp_id,id,none,May need to create wave-country-id
income,demographics,Income level,se009,ordinal,income,ordinal,none,Check exact variable names per wave
corruption_witnessed,corruption,Personally witnessed corruption in past year,NA,NA,NA,NA,NA,W4+ q120. 5 categories from personally witnessed to no one witnessed
govt_anticorruption_effort,corruption,Is government working to crack down on corruption,NA,NA,NA,NA,NA,W3+ q118. 4pt (1=doing best to 4=nothing). HIGHER=LESS effort
govt_withhold_info,corruption,How often govt withholds important info from public,NA,NA,NA,NA,NA,W4+ q111. 4pt (1=always to 4=rarely). HIGHER=MORE transparent
leaders_break_law,corruption,How often govt leaders break law or abuse power,NA,NA,NA,NA,NA,W4+ q112. 4pt (1=always to 4=rarely). HIGHER=LESS corruption
officials_unpunished,corruption,Officials who commit crimes go unpunished,NA,NA,NA,NA,NA,W4+ q110. 4pt (1=always to 4=rarely). HIGHER=LESS corruption
covid_economic_impact,covid,COVID impact on family livelihood,NA,NA,covid_econ_impact,4pt_1serious,none,W6 only. 1=very serious to 4=not much
covid_emergency_powers,covid,Justify emergency powers for health,NA,NA,emergency_powers,4pt_1justified,none,W6 only. Authoritarianism measure
covid_govt_handling,covid,Government pandemic handling,NA,NA,covid_govt_handling,4pt_1good,none,*** W6 ONLY - KEY DV for Paper 1 ***
covid_infection,covid,Personal/family COVID-19 infection,NA,NA,covid_infected,binary_1yes,none,*** W6 ONLY - KEY for Paper 1 (Vietnam Paradox) ***
covid_trust_info,covid,Trust in govt COVID information,NA,NA,covid_trust_info,4pt_1high,none,*** W6 ONLY - KEY MEDIATOR for Paper 1 ***
covid_vaccination,covid,COVID vaccination status,NA,NA,covid_vaccinated,categorical,none,W6 only. Multiple categories
emergency_powers_corruption,covid,Justify emergency powers to reduce corruption,NA,NA,NA,NA,NA,W6 q172c. Corruption justification
emergency_powers_covid,covid,Justify emergency powers for COVID pandemic,NA,NA,NA,NA,NA,W6 q172a. 1=very justified to 4=not at all
emergency_powers_economic,covid,Justify emergency powers for economic crisis,NA,NA,NA,NA,NA,W6 q172b. Economic crisis justification
emergency_powers_security,covid,Justify emergency powers for security crisis,NA,NA,NA,NA,NA,W6 q172d. Security/terrorism justification
emergency_powers_war,covid,Justify emergency powers when at war,NA,NA,NA,NA,NA,W6 q172e. War justification
between_elections_accountability,democracy,Between elections people can't hold govt responsible,NA,NA,NA,NA,NA,W4+ q103. 4pt agree-disagree. REVERSED - agreement=less accountable
courts_check_leaders,democracy,Courts can't do anything when leaders break laws,NA,NA,NA,NA,NA,W4+ q104. 4pt agree-disagree. REVERSED - agreement=less accountable
demchar_clean_politics,democracy,Politics clean and free of corruption (essential),NA,NA,NA,NA,NA,W5 q92 is clean politics (10pt essential scale)
demchar_courts_protect,democracy,Courts protect from govt abuse (essential for democracy),NA,NA,NA,NA,NA,W5 q91 is courts protect (1=not essential to 10=essential)
demchar_leader_wisdom,democracy,Leaders rule by wisdom not preferences (essential),NA,NA,NA,NA,NA,W5 q95 is leader wisdom (10pt essential scale)
demchar_one_party,democracy,One party represents all classes (essential),NA,NA,NA,NA,NA,W5 q96 is one party (10pt essential scale)
demchar_protest_freedom,democracy,Freedom to protest (essential for democracy),NA,NA,NA,NA,NA,W5 q93 is protest freedom (10pt essential scale)
demchar_religious_authority,democracy,Govt consults religious authorities (essential),NA,NA,NA,NA,NA,W5 q94 is religious authority (10pt essential scale)
demchar_religious_leaders,democracy,Religious leaders pre-select candidates (essential),NA,NA,NA,NA,NA,W5 q97 is religious selection (10pt essential scale)
demchar_set1,democracy,Most essential democracy characteristic (set 1),NA,NA,NA,NA,NA,W6 q85. Four options forced choice
demchar_set2,democracy,Most essential democracy characteristic (set 2),NA,NA,NA,NA,NA,W6 q86. Four options forced choice
demchar_set3,democracy,Most essential democracy characteristic (set 3),NA,NA,NA,NA,NA,W6 q87. Four options forced choice
demchar_set4,democracy,Most essential democracy characteristic (set 4),NA,NA,NA,NA,NA,W6 q88. Four options forced choice
democracy_assessment,democracy,How much of a democracy is country (4pt),NA,NA,NA,NA,NA,W4+ q93. 4pt (1=full democracy to 4=not democracy). Different from 10pt scale
democracy_best_form,democracy,Democracy is best form despite problems,NA,NA,NA,NA,NA,W4+ q129. 4pt agree-disagree. Pro-democracy attitude
democracy_char_1,democracy,Most essential characteristic of democracy (set 1),NA,NA,NA,NA,NA,W4+ q88. 4 options about democracy characteristics
democracy_char_2,democracy,Most essential characteristic of democracy (set 2),NA,NA,NA,NA,NA,W4+ q89. 4 options about democracy characteristics
democracy_char_3,democracy,Most essential characteristic of democracy (set 3),NA,NA,NA,NA,NA,W4+ q90. 4 options about democracy characteristics
democracy_char_4,democracy,Most essential characteristic of democracy (set 4),NA,NA,NA,NA,NA,W4+ q91. 4 options about democracy characteristics
democracy_essential_choice,democracy,Most essential element of democracy (forced choice),NA,NA,NA,NA,NA,W5 q98 is forced choice between 4 democracy elements
democracy_meaning,democracy,What does democracy mean (open-ended),NA,NA,NA,NA,NA,W6 q89. Open-ended question
democracy_solve_problems,democracy,Democracy capable of solving society's problems,NA,NA,NA,NA,NA,W4+ q126. Binary choice
democracy_vs_development,democracy,Choose between democracy and economic development,NA,NA,NA,NA,NA,W4+ q127. 5pt comparison scale with equally important option
elections_attention,democracy,Elections make govt pay attention to people,NA,NA,NA,NA,NA,W4+ q116. 4pt (1=a good deal to 4=not at all). HIGHER=LESS effect
equality_vs_freedom,democracy,Choose between reducing inequality and protecting freedom,NA,NA,NA,NA,NA,W4+ q128. 5pt comparison scale
freedom_organization,democracy,People can join any organization without fear,NA,NA,NA,NA,NA,W4+ q109. 4pt agree-disagree. Freedom perception
legislature_check_govt,democracy,Legislature capable of keeping govt leaders in check,NA,NA,NA,NA,NA,W4+ q114. 4pt (1=very capable to 4=not at all). HIGHER=LESS capable
parties_equal_media,democracy,Parties have equal access to media during elections,NA,NA,NA,NA,NA,W4+ q102. 4pt agree-disagree. Electoral fairness perception
people_change_govt,democracy,People have power to change government they don't like,NA,NA,NA,NA,NA,W4+ q101. 4pt agree-disagree. Democratic belief
uneducated_equal_say,democracy,Uneducated should have equal say in politics,NA,NA,trust_civil_service,4pt_1high,W3+,W3+ q140. 4pt agree-disagree. Egalitarian attitudes
govt_reduce_inequality,economic,Govt responsibility to reduce income differences,NA,NA,govt_reduce_ineq,varies,none,W4+ q156. 4pt agree-disagree. Redistributive preference
income_distribution_fair,economic,How fair is income distribution in country,NA,NA,income_fair_country,4pt_1high,none,W4+ q155. 4pt (1=very fair to 4=very unfair). HIGHER=LESS fair
income_fairness_personal,economic,Family income is fair given efforts,NA,NA,income_fair_personal,4pt_1high,none,W4+ q159. 4pt (1=very fair to 4=very unfair). HIGHER=LESS fair
income_loss_concern,economic,Concerned about losing major income source next 12 months,NA,NA,income_worry,4pt_1high,none,W4+ q157. 4pt (1=not at all to 4=very concerned). HIGHER=MORE concerned
income_loss_impact,economic,How serious if lost main income source,NA,NA,income_impact,3pt_1high,none,W4+ q158. 3pt (1=serious difficulty to 3=manage fine). HIGHER=LESS serious
vote_buying_experience,electoral,Offered something in return for vote,NA,NA,NA,NA,NA,"W6 q79. 1=often, 2=sometimes, 3=never"
vote_winner_loser,electoral,Voted for winning or losing camp,NA,NA,NA,NA,NA,W6 q34a. Winner/loser/not sure
access_childcare,governance,How easy to obtain childcare,NA,NA,NA,NA,NA,W6 q45. 1=very easy to 4=very difficult
access_healthcare,governance,How easy to obtain healthcare,NA,NA,NA,NA,NA,W6 q42. 1=very easy to 4=very difficult
access_internet,governance,How easy to obtain internet access,NA,NA,NA,NA,NA,W6 q44. 1=very easy to 4=very difficult
access_police,governance,How easy to obtain help from police,NA,NA,NA,NA,NA,W6 q43. 1=very easy to 4=very difficult
access_roads,governance,How easy to obtain roads in good condition,NA,NA,NA,NA,NA,W6 q39. 1=very easy to 4=very difficult
access_transport,governance,How easy to obtain public transportation,NA,NA,NA,NA,NA,W6 q41. 1=very easy to 4=very difficult
access_water,governance,How easy to obtain running water,NA,NA,NA,NA,NA,W6 q40. 1=very easy to 4=very difficult
accountability_vs_efficiency,governance,Hold govt accountable vs get things done,NA,NA,NA,NA,NA,W5 q83 is accountability vs efficiency binary
country_problem_1,governance,Most important problem facing country (1st),NA,NA,NA,NA,NA,W6 q97. Multiple categories
country_problem_2,governance,Most important problem facing country (2nd),NA,NA,NA,NA,NA,W6 q97a. Second most important
country_problem_3,governance,Most important problem facing country (3rd),NA,NA,NA,NA,NA,W6 q97b. Third most important
country_problem_main,governance,Most important problems facing country,NA,NA,NA,NA,NA,W4+ q99. Multiple choice with 39 categories
environment_vs_economy,governance,Priority: environment protection vs economic growth,NA,NA,NA,NA,NA,W4+ q154. Binary choice
ethnic_equal_treatment,governance,All ethnic communities treated equally by government,NA,NA,equal_ethnic,4pt_1high,none,W4+ q105. 4pt agree-disagree
govt_employee_vs_parent,governance,Govt is employee of people vs parent who decides,NA,NA,NA,NA,NA,"W3+ q75. Statement 1=employee, 2=parent"
govt_implement_vs_decide,governance,Govt implements voter wants vs does what thinks best,NA,NA,NA,NA,NA,W5 q82 is govt responsiveness binary choice
govt_responsive_people,governance,How well govt responds to what people want,NA,NA,NA,NA,NA,W4+ q115. 4pt (1=very responsive to 4=not at all). HIGHER=LESS responsive
govt_responsive_vs_expert,governance,Govt should do what voters want vs what experts think best,NA,NA,NA,NA,NA,"W3+ q74. Statement 1=responsive, 2=expert knows best"
govt_solve_problem,governance,How likely govt will solve main problem,NA,NA,NA,NA,NA,W6 q98. 1=very likely to 4=not at all likely
govt_solve_problem_likely,governance,How likely govt will solve main problem in 5 years,NA,NA,NA,NA,NA,W4+ q100. 4pt (1=very likely to 4=not at all likely). HIGHER=LESS likely
individual_vs_govt_welfare,governance,Individual responsibility vs govt welfare,NA,NA,NA,NA,NA,"W3+ q77. Statement 1=individual, 2=govt responsible"
leaders_elected_vs_merit,governance,Leaders chosen by election vs merit,NA,NA,NA,NA,NA,"W3+ q78. Statement 1=elected, 2=merit-based"
leaders_elected_vs_virtue,governance,Leaders chosen by election vs by virtue/capability,NA,NA,NA,NA,NA,W5 q85 is leader selection binary choice
media_freedom_vs_control,governance,Media free to publish vs govt controls,NA,NA,NA,NA,NA,"W3+ q76. Statement 1=media free, 2=govt controls"
multiparty_vs_oneparty,governance,Multiple parties vs one party represents all,NA,NA,NA,NA,NA,"W3+ q79. Statement 1=multiparty, 2=one party"
press_freedom_vs_control,governance,Media right to publish vs govt right to prevent,NA,NA,NA,NA,NA,W5 q84 is press freedom binary choice
rich_poor_equal_treatment,governance,Rich and poor treated equally by government,NA,NA,equal_richpoor,4pt_1high,none,W4+ q106. 4pt agree-disagree
defend_way_of_life,identity,Country should defend way of life vs become like others,NA,NA,defend_way_life,varies,W3+,W3+ q151. 4pt agree-disagree. Nationalism
emigration_willingness_w3,identity,Willingness to live in another country (W3),NA,NA,NA,NA,NA,W3 q155. 4pt (1=very willing to 4=not at all). HIGHER=LESS willing
foreign_goods_harm,identity,Foreign goods hurt local community,NA,NA,NA,NA,NA,W3+ q153. 4pt agree-disagree. Economic nationalism
protect_from_imports,identity,Protect workers by limiting imports,NA,NA,protect_imports,varies,W3+,W3+ q152. 4pt agree-disagree. Economic nationalism
asia_influence_country,international,Which country has most influence in Asia,NA,NA,NA,NA,NA,W6 q173. China/Japan/India/USA/Others
china_world_influence,international,China influence on world affairs,NA,NA,NA,NA,NA,W6 q176. 1=very positive to 6=very negative
democracy_china,international,Where would place China on democracy scale,NA,NA,NA,NA,NA,W4+ q121. 10pt scale. Perception of Chinese democracy
democracy_india,international,Where would place India on democracy scale,NA,NA,NA,NA,NA,W4+ q124. 10pt scale. Perception of Indian democracy
democracy_japan,international,Where would place Japan on democracy scale,NA,NA,NA,NA,NA,W4+ q123. 10pt scale. Perception of Japanese democracy
democracy_usa,international,Where would place USA on democracy scale,NA,NA,NA,NA,NA,W4+ q122. 10pt scale. Perception of US democracy
immigration_policy,international,Should govt increase or decrease immigrant inflow,NA,NA,immigration_policy,4pt_1high,none,W4+ q153. 4pt (1=increase to 4=no more). HIGHER=MORE restrictive
usa_asia_impact,international,Does USA do more good or harm to Asia,NA,NA,NA,NA,NA,W6 q174. 1=much more good to 4=much more harm
usa_world_influence,international,US influence on world affairs,NA,NA,NA,NA,NA,W6 q175. 1=very positive to 6=very negative
info_channel_politics,internet,Most important channel for political information,NA,NA,NA,NA,NA,W6 q53. TV/newspaper/internet/radio/face-to-face
internet_access_home,internet,Have Internet access at home,NA,NA,internet_home,binary_1yes,none,W4 only. Binary 1=yes 2=no
internet_access_mobile,internet,Have Internet access on mobile phone,NA,NA,internet_mobile,binary_1yes,none,W4 only. Binary 1=yes 2=no with 0=no cell phone
internet_politics_express,internet,How often use internet/social media to express political opinion,NA,NA,internet_politics_express,mixed,none,Different measurement across waves. W4 (6-point frequency 1=everyday to 6=never). W5-W6 (binary ever done). Not directly comparable - harmonization difficult
internet_politics_info,internet,How often use internet/social media to find political information,NA,NA,internet_politics_info,6pt_1high,none,W4 only. 6-point scale 1=everyday to 6=practically never. HIGHER=LESS
internet_use_frequency,internet,How often use internet,NA,NA,internet_frequency,8pt_1high,none,W4-W6. 8-point scale 1=several hours daily to 8=never. HIGHER=LESS. Consistent directionality across waves
internet_use_frequency_w3,internet,How often use internet (W3 version),NA,NA,NA,NA,NA,W3 q45. 6pt (1=Almost daily to 6=Never). HIGHER=LESS use
social_media_use,internet,Currently use social media networks,NA,NA,NA,NA,NA,W4+ q50. Binary 1=yes 2=no
socialmedia_connect,internet,Use social media to connect with people,NA,NA,NA,NA,NA,W6 q52a. 1=often to 4=never
socialmedia_connect_people,internet,Use social media to connect with other people,NA,NA,socialmedia_connect,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Not directly comparable
socialmedia_connect_w5,internet,Use social media to connect with people (W5),NA,NA,NA,NA,NA,W5 q51a is social media for connecting (binary)
socialmedia_facebook,internet,Actively use Facebook,NA,NA,NA,NA,NA,W6 q51a. Binary yes/no
socialmedia_instagram,internet,Actively use Instagram,NA,NA,NA,NA,NA,W6 q51c. Binary yes/no
socialmedia_line,internet,Actively use Line,NA,NA,NA,NA,NA,W6 q51h. Binary yes/no
socialmedia_messenger,internet,Actively use Messenger,NA,NA,NA,NA,NA,W6 q51f. Binary yes/no
socialmedia_opinion_politics,internet,Use social media to express opinion on political issues,NA,NA,socialmedia_politics_opinion,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Requires careful harmonization
socialmedia_organize,internet,Use social media to organize for political influence,NA,NA,NA,NA,NA,W6 q52d. 1=often to 4=never
socialmedia_politics,internet,Use social media for political opinions,NA,NA,NA,NA,NA,W6 q52b. 1=often to 4=never
socialmedia_politics_w5,internet,Use social media for political opinions (W5),NA,NA,NA,NA,NA,W5 q51b is social media for politics (binary)
socialmedia_share,internet,Use social media to share news,NA,NA,NA,NA,NA,W6 q52c. 1=often to 4=never
socialmedia_share_news,internet,Use social media to share news or information,NA,NA,socialmedia_share_news,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Not directly comparable
socialmedia_share_w5,internet,Use social media to share news/info (W5),NA,NA,NA,NA,NA,W5 q51c is social media for sharing (binary)
socialmedia_telegram,internet,Actively use Telegram,NA,NA,NA,NA,NA,W6 q51g. Binary yes/no
socialmedia_tiktok,internet,Actively use TikTok,NA,NA,NA,NA,NA,W6 q51e. Binary yes/no
socialmedia_twitter,internet,Actively use Twitter,NA,NA,NA,NA,NA,W6 q51b. Binary yes/no
socialmedia_use,internet,Currently use social media networks,NA,NA,socialmedia_use,binary_1yes,none,W4-W5. Binary 1=yes 2=no. W6 asks about specific platforms (q51a-q51h) instead
socialmedia_whatsapp,internet,Actively use WhatsApp,NA,NA,NA,NA,NA,W6 q51i. Binary yes/no
socialmedia_youtube,internet,Actively use YouTube,NA,NA,NA,NA,NA,W6 q51d. Binary yes/no
citizen_loyalty,nationalism,Citizen should remain loyal to country regardless,NA,NA,NA,NA,NA,W4+ q138. 4pt agree-disagree. Patriotism/nationalism
internet_express_politics_w5,participation,Used internet/social media to express political opinions,NA,NA,NA,NA,NA,W5 q76 is internet for political opinions (5pt participation)
join_group_cause,participation,Joined group to support a cause (including online),NA,NA,NA,NA,NA,W5 q77 is joined group for cause (5pt participation)
petition_sign_online,participation,Signed an online petition,NA,NA,NA,NA,NA,W5 q75 is signed online petition (5pt participation scale)
voting_frequency_pattern,participation,How often vote in elections since eligible,NA,NA,voting_pattern,4pt_1high,none,W3-W6. 4-point scale (1=every election to 4=hardly ever). HIGHER=LESS participation
party_closeness_strength,partisanship,How close feel to chosen party,NA,NA,NA,NA,NA,W4+ q54. 3pt (1=very close to 3=just a little). HIGHER=LESS close
follow_international_news,politics,How closely follow major events in foreign countries,NA,NA,NA,NA,NA,W3+ q149. 5pt (1=very closely to 5=not at all). HIGHER=LESS
follow_news,politics,How often follow political news,q057,6pt_2low,follow_news,varies,none,W3-W6. Check exact scales per wave
political_efficacy_ability,politics,I have ability to participate in politics,NA,NA,pol_efficacy_ability,4pt_1high,W3+,W3+ q133. 4pt agree-disagree. Internal efficacy
political_efficacy_understand_w3,politics,Politics too complicated to understand (W3),NA,NA,NA,NA,NA,W3+ q134. 4pt agree-disagree. Internal efficacy (low)
political_efficacy_voice_w3,politics,People like me don't have influence (W3),NA,NA,NA,NA,NA,W3+ q135. 4pt agree-disagree. External efficacy (low)
watch_foreign_media,politics,How often watch foreign programs,NA,NA,NA,NA,NA,W3+ q150. 6pt (1=almost daily to 6=never). HIGHER=LESS
democracy_scale_future,regime,Expected democracy scale 10 years from now,q102,10pt_1low,democracy_scale_future,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic
emergency_disregard_law,regime,OK for govt to disregard law in emergencies,NA,NA,NA,NA,NA,W3+ q148. 4pt agree-disagree. Emergency authoritarianism
govt_control_ideas,regime,Govt should decide what ideas allowed,NA,NA,dem_prefer,varies,W3+,W3+ q142. 4pt agree-disagree. Authoritarianism
judges_follow_executive,regime,Judges should accept executive view,NA,NA,dem_level,varies,W3+,W3+ q144. 4pt agree-disagree. Authoritarianism
leaders_like_family_head,regime,"Govt leaders like family head, should follow",NA,NA,dem_satisfaction,4pt_1high,W3+,W3+ q141. 4pt agree-disagree. Paternalism/authoritarianism
legislature_check_prevents_greatness,regime,Legislative oversight prevents great things,NA,NA,army_rule,4choice,W3+,W3+ q145. 4pt agree-disagree. Authoritarianism
moral_leaders_decide_all,regime,Morally upright leaders can decide everything,NA,NA,democracy_scale_now,10pt_1high,W3+,W3+ q146. 4pt agree-disagree. Authoritarianism
system_change_needed,regime,System works fine vs needs change vs should be replaced,NA,NA,NA,NA,NA,W3+ q84. 4pt (1=fine to 4=replace). HIGHER=MORE change wanted
system_deserves_support,regime,System deserves people's support despite problems,NA,NA,NA,NA,NA,W3+ q82. 4pt agree-disagree. System legitimacy
