batch,concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes
1,country_problem_2,governance,Most important problem facing country (2nd),,,q101,categorical,,,q99a,categorical,q106a,categorical,q97a,categorical,county_problem_2,categorical,,W6 q97a. Second most important
1,country_problem_3,governance,Most important problem facing country (3rd),,,q102,categorical,,,q99b,categorical,q106b,categorical,q97b,categorical,county_problem_3,categorical,,W6 q97b. Third most important
1,country_problem_main,governance,Most important problems facing country,,,,,,,q99,categorical,,,,,,,,W4+ q99. Multiple choice with 39 categories
1,environment_vs_economy,governance,Priority: environment protection vs economic growth,,,,,,,q154,binary,,,,,,,,W4+ q154. Binary choice
1,equal_treatment_all,governance,Everyone is treated equally by the government,,,q108,4pt,,,,,,,,,,,,
1,ethnic_equal_treatment,governance,All ethnic communities treated equally by government,,,,,q103,4pt_1agree,q105,4pt_1agree,q112,4pt_1agree,q103,4pt_1agree,equal_ethnic,4pt_1high,none,W4+ q105. 4pt agree-disagree
1,freedom_association,governance,Freedom to join organization of choice,,,q111,4pt_1agree,q107,4pt_1agree,q109,,q116,4pt_1agree,q107,4pt_1agree,freedom_assoc,4pt_1high,W2+,W2+. 4pt scale (1=Completely free to 4=Not at all free). HIGHER=LESS freedom
1,freedom_press,governance,Freedom of press/media,,,q112,4pt_1complete,,,,,,,,,,,,W2+. 4pt scale (1=Completely free to 4=Not at all free). HIGHER=LESS freedom
1,freedom_speech,governance,Perceived freedom to express opinions without fear,,,q110,4pt_1agree,q106,4pt_1agree,q108,4pt_1agree,q115,4pt_1agree,q106,4pt_1agree,freedom_speech,4pt_1high,W2+,W2+. 4pt scale (1=Completely free to 4=Not at all free). HIGHER=LESS freedom
1,freedom_vote,governance,Freedom to vote without pressure,,,q113,4pt_1complete,,,,,,,,,,,,W2+. 4pt scale (1=Completely free to 4=Not at all free). HIGHER=LESS freedom
1,govt_employee_vs_parent,governance,Govt is employee of people vs parent who decides,,,,,q75,binary,q80,binary_choice,,,,,,,,"W3+ q75. Statement 1=employee, 2=parent"
1,govt_implement_vs_decide,governance,Govt implements voter wants vs does what thinks best,,,,,,,,,q82,binary_choice,,,,,,W5 q82 is govt responsiveness binary choice
1,govt_responsive_people,governance,How well govt responds to what people want,,,,,,,q115,4pt_1high,,,,,,,,W4+ q115. 4pt (1=very responsive to 4=not at all). HIGHER=LESS responsive
1,govt_responsive_vs_expert,governance,Govt should do what voters want vs what experts think best,,,,,q74,binary,q79,binary_choice,,,,,,,,"W3+ q74. Statement 1=responsive, 2=expert knows best"
2,govt_responsiveness,governance,How well govt responds to what people want,,,,,q113,4pt_1high,,,,,,,,,,W3 q113. 4pt_1high. NEW CONCEPT
1,govt_responsiveness_w2,governance,How well do you think the government responds to what people want?,,,q116,4pt_agree,,,,,,,,,,,,
1,govt_solve_problem,governance,How likely govt will solve main problem,,,q102a,4pt_likely,q97,4pt_likely,q100,4pt_likely,q107,4pt_likely,q98,4pt_likely,likelihood_govt_solves,4pt_likely,,W6 q98. 1=very likely to 4=not at all likely
1,govt_solve_problem_likely,governance,How likely govt will solve main problem in 5 years,,,,,,,q100,4pt_1high,,,,,,,,W4+ q100. 4pt (1=very likely to 4=not at all likely). HIGHER=LESS likely
1,individual_vs_govt_welfare,governance,Individual responsibility vs govt welfare,,,,,q77,binary,,,,,,,,,,"W3+ q77. Statement 1=individual, 2=govt responsible"
1,leaders_elected_vs_merit,governance,Leaders chosen by election vs merit,,,,,q78,binary,q82,binary_choice,,,,,,,,"W3+ q78. Statement 1=elected, 2=merit-based"
1,leaders_elected_vs_virtue,governance,Leaders chosen by election vs by virtue/capability,,,,,,,,,q85,binary_choice,,,,,,W5 q85 is leader selection binary choice
1,local_govt_authority_w2,governance,The local government should have more authority over local decisions than it does now,,,q143,4pt,,,,,,,,,,,,
1,media_freedom_vs_control,governance,Media free to publish vs govt controls,,,,,q76,binary,q81,binary_choice,,,,,,,,"W3+ q76. Statement 1=media free, 2=govt controls"
1,multiparty_vs_oneparty,governance,Multiple parties vs one party represents all,,,,,q79,binary,,,,,,,,,,"W3+ q79. Statement 1=multiparty, 2=one party"
1,press_freedom_vs_control,governance,Media right to publish vs govt right to prevent,,,,,,,,,q84,binary_choice,,,,,,W5 q84 is press freedom binary choice
1,rich_poor_equal_treatment,governance,Rich and poor treated equally by government,,,,,q104,4pt_1agree,q106,4pt_1agree,q113,4pt_1agree,q104,4pt_1agree,equal_richpoor,4pt_1high,none,W4+ q106. 4pt agree-disagree
1,country,identifiers,Country name,country,categorical,country,categorical,country,categorical,country,categorical,country,categorical,country,categorical,country_name,categorical,none,Standardize country names
1,respondent_id,identifiers,Unique respondent ID,idnumber,id,idnumber,id,idnumber,id,idnumber,id,idnumber,id,idnumber,id,resp_id,id,none,May need to create wave-country-id
1,year,identifiers,Survey year,,,year,continuous,year,continuous,year,continuous,year,continuous,year,continuous,survey_year,continuous,none,2006/2010/2014/2018/2022
1,defend_way_of_life,identity,Country should defend way of life vs become like others,,,,,q151,4pt_1agree,q151,4pt_1agree,q156,binary_choice,q156,binary_choice,defend_way_life,varies,W3+,W3+ q151. 4pt agree-disagree. Nationalism
1,defend_way_of_life_w2,identity,Our country should defend our way of life instead of becoming more and more like other countries,,,q144,4pt,,,,,,,,,,,,
1,emigration_willingness,identity,Willingness to go live in another country,,,q155,4pt_1high,q155,4pt_1high,,,q167,4pt_1high,q167,4pt_1high,emigrate_willing,4pt_1high,W2+,W2+. 4pt scale (1=Very willing to 4=Not willing at all). HIGHER=LESS willing
1,emigration_willingness_w3,identity,Willingness to live in another country (W3),,,,,q155,4pt_1high,,,,,,,,,,W3 q155. 4pt (1=very willing to 4=not at all). HIGHER=LESS willing
1,foreign_goods_harm,identity,Foreign goods hurt local community,,,,,q153,4pt_1agree,,,,,,,,,,W3+ q153. 4pt agree-disagree. Economic nationalism
1,identity_attachment_w2,identity,Let us suppose that you had to choose between being a..... which of these do you feel most strongly attached to,,,q147,4pt_agree,,,,,,,,,,,,
1,national_pride,identity,How proud to be a citizen of country,,,q154,4pt_1high,q154,4pt_1high,q161,4pt_1high,q166,4pt_1high,q166,4pt_1high,national_pride,4pt_1high,W2+,W2+. 4pt scale (1=Very proud to 4=Not proud at all). HIGHER=LESS proud
1,protect_from_imports,identity,Protect workers by limiting imports,,,,,q152,4pt_1agree,q152,4pt_1agree,q157,binary_choice,q157,binary_choice,protect_imports,varies,W3+,W3+ q152. 4pt agree-disagree. Economic nationalism
1,asean_closeness,international,How close do you feel to ASEAN?,,,,,,,q172,,q186,4pt_1close,q186,6pt_1close..not aware,,,,
1,asia_influence_country,international,Which country has most influence in Asia,,,,,,,,,,,q173,categorical,,,,W6 q173. China/Japan/India/USA/Others
2,asia_influence_current,international,Which country has most influence in Asia,,,,,q156,categorical,,,,,,,,,,W3 q156. categorical. NEW CONCEPT
2,asia_influence_future,international,Which country will have most influence in 10 years,,,,,q158,categorical,,,,,,,,,,W3 q158. categorical. NEW CONCEPT
1,china_asia_impact,international,Does China do more good or harm to Asia,,,,,,,,,q177,4pt_1good,q176,4pt_1good,,,,
2,china_influence_level,international,How much influence does China have on country,,,,,q160,4pt_1high,,,,,,,,,,W3 q160. 4pt_1high. NEW CONCEPT
2,china_influence_valence,international,Is China influence good or bad,,,,,q161,5pt,,,,,,,,,,W3 q161. 5pt. NEW CONCEPT
1,china_world_influence,international,China influence on world affairs,,,,,,,,,q178,10pt_1neg,q177,6pt_1positive,,,,W6 q176. 1=very positive to 6=very negative
1,country_most_influential_in_asia_10_years,international,Which country will be most influential in Asia in 10 years,,,,,,,,,q177,categorical,q179,5pt_cat,,,,
1,country_that_should_be_model,international,Which country should be a model for our own country's future development?,,,,,,,,,q180,categorical,q180,6pt_cat,,,,
1,democracy_china,international,Where would place China on democracy scale,,,,,q120,10pt_1low,q121,10pt_1low,q128,10pt_1low,q120,10pt_1low,,,,W4+ q121. 10pt scale. Perception of Chinese democracy
1,democracy_india,international,Where would place India on democracy scale,,,,,q123,10pt_1low,q124,10pt_1low,q131,10pt_1low,q123,10pt_1low,,,,W4+ q124. 10pt scale. Perception of Indian democracy
1,democracy_japan,international,Where would place Japan on democracy scale,,,,,q122,10pt_1low,q123,10pt_1low,q130,10pt_1low,q122,10pt_1low,,,,W4+ q123. 10pt scale. Perception of Japanese democracy
1,democracy_usa,international,Where would place USA on democracy scale,,,,,q121,10pt_1low,q122,10pt_1low,q129,10pt_1low,q121,10pt_1low,,,,W4+ q122. 10pt scale. Perception of US democracy
1,eu_world_influence,international,EU influence on world affairs,,,,,,,,,,,q178,6pt_1positive,,,,
1,eval_China_influence_on_us,international,Influence China has on our country is ___? ,,,,,,,,,q182,6pt_1positive,q182,6pt_1positive,,,,
1,eval_USA_influence_on_us,international,Influence USA has on our country is ___? ,,,,,,,,,q184,6pt_1positive,q184,6pt_1positive,,,,
1,follow_world_events_w2,international,How closely do you follow major events in foreign countries/the world?,,,q67,5pt,,,,,,,,,,,,
1,immigration_policy,international,Should govt increase or decrease immigrant inflow,,,,,,,q153,4pt_1increase,q158,4pt_1increase,q158,4pt_1increase,immigration_policy,4pt_1high,none,W4+ q153. 4pt (1=increase to 4=no more). HIGHER=MORE restrictive
1,influence_China_has_on_us,international,How much influence does China have on our country?,,,,,,,,,q181,4pt_1great,q181,4pt_1great,,,,
2,influence_country_valence,international,Does influential country do good or harm to region,,,,,q157,5pt,,,,,,,,,,W3 q157. 5pt. NEW CONCEPT
1,influence_USA_has_on_us,international,How much influence does USA have on our country?,,,,,,,,,q183,4pt_1great,q183,4pt_1great,,,,
2,model_country,international,Which country should be model for development,,,,,q159,categorical,,,,,,,,,,W3 q159. categorical. NEW CONCEPT
1,relation_eu_w2,international,Relation: The European Community or European Union,,,q156,binary,,,,,,,,,,,,
1,relation_imf_w2,international,Relation: International Monetary Fund or IMF,,,q158,4pt,,,,,,,,,,,,
1,relation_un_w2,international,Relation: The United Nations or UN,,,q157,binary,,,,,,,,,,,,
1,relation_worldbank_w2,international,Relation: World Bank,,,q159,4pt,,,,,,,,,,,,
1,travel_abroad_frequency_w2,international,"Have you traveled abroad before? If you have, how often do you travel abroad?",,,q68,5pt,,,,,,,,,,,,
1,usa_asia_impact,international,Does USA do more good or harm to Asia,,,,,,,,,q175,4pt_1good,q174,4pt_1good,,,,W6 q174. 1=much more good to 4=much more harm
1,usa_world_influence,international,US influence on world affairs,,,,,,,,,q176,10pt_1neg,q175,6pt_1positive,,,,W6 q175. 1=very positive to 6=very negative
1,what_point_evaluating_on,international,Which aspect about the Asian power's influence and impact you have in mind when answering the above questions? ,,,,,,,,,q185,5pt_cat,q185,5pt_cat,,,,
1,info_channel_politics,internet,Most important channel for political information,,,,,,,,,,,q53,categorical,,,,W6 q53. TV/newspaper/internet/radio/face-to-face
1,internet_access_home,internet,Have Internet access at home,,,,,,,q47,binary_1yes,,,,,internet_home,binary_1yes,none,W4 only. Binary 1=yes 2=no
1,internet_access_mobile,internet,Have Internet access on mobile phone,,,,,,,q48,binary_1yes,,,,,internet_mobile,binary_1yes,none,W4 only. Binary 1=yes 2=no with 0=no cell phone
1,internet_politics_express,internet,How often use internet/social media to express political opinion,,,,,,,q52,6pt_1high,q76,binary_done,q73,binary_done,internet_politics_express,mixed,none,Different measurement across waves. W4 (6-point frequency 1=everyday to 6=never). W5-W6 (binary ever done). Not directly comparable - harmonization difficult
1,internet_politics_info,internet,How often use internet/social media to find political information,,,,,,,q51,6pt_1high,,,,,internet_politics_info,6pt_1high,none,W4 only. 6-point scale 1=everyday to 6=practically never. HIGHER=LESS
1,internet_use_frequency,internet,How often use internet,,,,,,,q49,8pt_1high,q49,8pt_1high,q50,8pt_1high,internet_frequency,8pt_1high,none,W4-W6. 8-point scale 1=several hours daily to 8=never. HIGHER=LESS. Consistent directionality across waves
1,internet_use_frequency_w2,internet,How often use internet (W2 version),,,q66,7pt_1high,,,,,,,,,,,,W2 only. 7pt scale (1=Several hours daily to 7=Never). HIGHER=LESS use. Different scale from W4+
1,internet_use_frequency_w3,internet,How often use internet (W3 version),,,,,q45,6pt_1high,,,,,,,,,,W3 q45. 6pt (1=Almost daily to 6=Never). HIGHER=LESS use
1,social_media_use,internet,Currently use social media networks,,,,,,,q50,binary_1yes,q50,binary_1yes,,,,,,W4+ q50. Binary 1=yes 2=no
1,socialmedia_connect_people,internet,Use social media to connect with other people,,,,,,,,,q51a,binary_1yes,q52a,4pt_1often,socialmedia_connect,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Not directly comparable
1,socialmedia_facebook,internet,Actively use Facebook,,,,,,,,,,,q51a_Facebook,binary_1yes,,,,W6 q51a. Binary yes/no
1,socialmedia_instagram,internet,Actively use Instagram,,,,,,,,,,,q51c_Instagram,binary_1yes,,,,W6 q51c. Binary yes/no
1,socialmedia_line,internet,Actively use Line,,,,,,,,,,,q51h_Line,binary_1yes,,,,W6 q51h. Binary yes/no
1,socialmedia_messenger,internet,Actively use Messenger,,,,,,,,,,,q51f_Messenger,binary_1yes,,,,W6 q51f. Binary yes/no
1,socialmedia_opinion_politics,internet,Use social media to express opinion on political issues,,,,,,,q52,,q51b,binary_1yes,q52b,freq_6pt,socialmedia_politics_opinion,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Requires careful harmonization
1,socialmedia_organize,internet,Use social media to organize for political influence,,,,,,,,,,,q52d,4pt_1often,,,,W6 q52d. 1=often to 4=never
1,socialmedia_politics,internet,Use social media for political opinions,,,,,,,,,,,q52b,4pt_1often,,,,W6 q52b. 1=often to 4=never
1,socialmedia_politics_w5,internet,Use social media for political opinions (W5),,,,,,,,,q51b,binary_1yes,,,,,,W5 q51b is social media for politics (binary)
1,socialmedia_share,internet,Use social media to share news,,,,,,,,,,,q52c,4pt_1often,,,,W6 q52c. 1=often to 4=never
1,socialmedia_share_news,internet,Use social media to share news or information,,,,,,,,,q51c,binary_1yes,q52c,freq_6pt,socialmedia_share_news,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Not directly comparable
1,socialmedia_share_w5,internet,Use social media to share news/info (W5),,,,,,,,,q51c,binary_1yes,,,,,,W5 q51c is social media for sharing (binary)
1,socialmedia_telegram,internet,Actively use Telegram,,,,,,,,,,,q51g_Telegram,binary_1yes,,,,W6 q51g. Binary yes/no
1,socialmedia_tiktok,internet,Actively use TikTok,,,,,,,,,,,q51e_Tiktok,binary_1yes,,,,W6 q51e. Binary yes/no
1,socialmedia_twitter,internet,Actively use Twitter,,,,,,,,,,,q51b_Twitter,binary_1yes,,,,W6 q51b. Binary yes/no
1,socialmedia_whatsapp,internet,Actively use WhatsApp,,,,,,,,,,,q51i_Whatsapp,binary_1yes,,,,W6 q51i. Binary yes/no
1,socialmedia_youtube,internet,Actively use YouTube,,,,,,,,,,,q51d_Youtube,binary_1yes,,,,W6 q51d. Binary yes/no
1,variable,label_group,label,,,,,,,,,,,,,,,,
1,citizen_loyalty,nationalism,Citizen should remain loyal to country regardless,,,,,,,q138,4pt_1agree,,,,,,,,W4+ q138. 4pt agree-disagree. Patriotism/nationalism
1,attend_demonstration,participation,Attended demonstration or protest march,q087,3pt_w1code,q88,3pt_ill,q71,3pt_0never,q76,3pt_done,q79,5pt_done,q76,5pt_done,attend_protest,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
1,collective_problem_solving,participation,Got together with others to resolve local problems,,,q84,3pt_done,q69,3pt_0never,q74,3pt_done,q77,3pt_done,q75,3pt_done,collective_action,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
1,contact_elected_officials,participation,Contacted elected officials or legislative representatives,q073,3pt_w1code,q79,3pt_done,q64,3pt_0never,q69,3pt_done,q71,3pt_done,q69,3pt_done,contact_officials,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). Some waves have 4-point version with willingness. HIGHER=LESS participation
1,contact_higher_officials,participation,Contacted government officials at higher level,q074,3pt_w1code,q80,3pt_done,q65,3pt_0never,q70,3pt_done,q72,3pt_done,q70,3pt_done,contact_higher_govt,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
1,contact_influential_people,participation,Contacted other influential people outside government,,,q82,3pt_done,q67,3pt_0never,q72,3pt_done,q74,3pt_done,q72,3pt_done,contact_influential,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
1,contact_media,participation,Contacted news media,q080,3pt_w1code,q83,3pt_done,q68,3pt_0never,q73,3pt_done,q75,3pt_done,q73,3pt_done,contact_media,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
1,contact_traditional_leaders,participation,Contacted traditional or community leaders,,,q81,3pt_done,q66,3pt_0never,q71,3pt_done,q73,3pt_done,q71,3pt_done,contact_traditional,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
1,internet_express_politics_w5,participation,Used internet/social media to express political opinions,,,,,,,,,q76,5pt_done,,,,,,W5 q76 is internet for political opinions (5pt participation)
1,join_group_cause,participation,Joined group to support a cause (including online),,,,,,,,,q77,5pt_done,q74,5pt_done,,,,W5 q77 is joined group for cause (5pt participation)
1,petition_sign,participation,Got together to raise issue or sign petition,q084,3pt_w1code,q85,3pt_done,q70,3pt_0never,q75,3pt_done,q78,3pt_done,q76,3pt_done,sign_petition,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
1,petition_sign_online,participation,Signed an online petition,,,,,,,,,q75,5pt_done,,,,,,W5 q75 is signed online petition (5pt participation scale)
1,refuse_pay_taxes_w2,participation,Refused to pay taxes or fees to the government,,,q86,binary,,,,,,,,,,,,
1,use_force_violence,participation,Used force or violence for political cause,q095,3pt_w1code,q88,3pt_done,q72,3pt_0never,q77,3pt_done,q80,3pt_done,q78,3pt_done,use_force,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
1,use_violence_politics_w2,participation,Used force or violence for a political cause,,,q89,binary,,,,,,,,,,,,
1,voting_frequency_pattern,participation,How often vote in elections since eligible,,,,,q78,4pt_1high,q78,4pt_1high,q81,4pt_1high,q79,4pt_1high,voting_pattern,4pt_1high,none,W3-W6. 4-point scale (1=every election to 4=hardly ever). HIGHER=LESS participation
1,party_closeness,partisanship,Which party do you feel closest to,q062,categorical,q54,categorical,q47,categorical,q53,categorical,q56,categorical,q54,categorical,party_id,categorical,none,All waves. Categorical variable with country-specific party codes. 90/99=no party. Codes vary by country - not directly comparable across countries but consistent concept
1,party_closeness_strength,partisanship,How close feel to chosen party,,,,,,,q54,3pt_1high,q56,3pt_1high,q55,3pt_1high,,,,W4+ q54. 3pt (1=very close to 3=just a little). HIGHER=LESS close
1,party_closeness_w2,partisanship,How close do you feel to the party(answer in Q54)?,,,q55,3pt_alittle,,,,,,,,,,,,
2,political_interest,political_behavior,Interest in politics/public affairs,,,,,q98,4pt_1high,,,,,,,,,,W3 q98. 4pt_1high. NEW CONCEPT
2,vote_frequency_lifetime,political_behavior,Voting frequency since eligible,,,,,q73,6pt,,,,,,,,,,W3 q73. 6pt. NEW CONCEPT
2,vote_nonvoter_reason,political_behavior,Reason for not voting in elections,,,,,q32,categorical,,,,,,,,,,W3 q32. categorical. NEW CONCEPT
1,discuss_politics,political_interest,How often discuss political matters with family or friends,q023,5pt_1low,q52,3pt_1high,q46,3pt_1high,q46,3pt_1high,q48,3pt_1high,q49,3pt_1high,discuss_politics,3pt_1high,W1,Most waves. W1 (1=never to 5=very often) 5-point HIGHER=MORE. W2 (1=frequently to 3=never) 3-point HIGHER=LESS. W3-W6 (1=frequently to 3=never) HIGHER=LESS. Must reverse W1 only. Different scale lengths require careful harmonization
1,defer_political_issues_w2,politics,The best way to deal with complicated political issues should be to leave them to the future,,,q73,4pt,,,,,,,,,,,,
1,follow_international_news,politics,How closely follow major events in foreign countries,,,,,q149,5pt_1high,q150,5pt_1high,,,,,,,,W3+ q149. 5pt (1=very closely to 5=not at all). HIGHER=LESS
1,follow_news,politics,How often follow political news,q057,6pt_2low,,,q44,varies,q45,5pt_1high,q47,5pt_1high,q48,5pt_1high,follow_news,varies,none,W3-W6. Check exact scales per wave
1,follow_political_news_w2,politics,How often do you follow news about politics and government,,,q50,5pt_never,,,,,,,,,,,,
1,govt_impact_daily_life_w2,politics,How much impact do you feel government politics have on your daily life?,,,q53,4pt,,,,,,,,,,,,
1,gradual_reform_prefer_w2,politics,Political reform should be introduced little-by-little instead of all-at-once,,,q74,4pt_agree,,,,,,,,,,,,
1,info_source_internet_w2,politics,Major source of info - Internet,,,q51_5,binary_1yes,,,,,,,,,,,,
1,info_source_magazine_w2,politics,Major source of info - magazine,,,q51_8,binary_1yes,,,,,,,,,,,,
1,info_source_most_important_w2,politics,From Q51 Which is most important,,,q51a,9pt_cat,,,,,,,,,,,,
1,info_source_newspaper_w2,politics,Major source of info - Newspaper,,,q51_2,binary_1yes,,,,,,,,,,,,
1,info_source_other_w2,politics,Major source of info - other,,,q51_7,binary_1yes,,,,,,,,,,,,
1,info_source_personal_w2,politics,Major source of info - personal contact,,,q51_6,binary_1yes,,,,,,,,,,,,
1,info_source_radio_w2,politics,Major source of info - Radio,,,q51_3,binary_1yes,,,,,,,,,,,,
1,info_source_sms_w2,politics,Major source of info - SMS,,,q51_4,binary_1yes,,,,,,,,,,,,
1,info_source_tv_w2,politics,Major source of info - TV,,,q51_1,binary_1yes,,,,,,,,,,,,
1,interest_politics,politics,Interest in politics,q056,4pt_1low,q49,4pt_none,q43,4pt_1high,q44,4pt_1high,q46,4pt_1low,q47,4pt_1high,pol_interest,4pt_1high,none,Variable numbers change but content consistent
1,majoritarian_policy_support_w2,politics,"If a government policy serves the interests of the majority of people, I should support it",,,q72,3pt,,,,,,,,,,,,
1,political_avoidance_w2,politics,"If possible, I don't want to get involved in political matters",,,q78,4pt,,,,,,,,,,,,
1,political_complexity_w2,politics,Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,,,q128,4pt_none,,,,,,,,,,,,
1,political_conflict_acceptable_w2,politics,Conflict among political groups is not a bad thing for our country,,,q71,4pt,,,,,,,,,,,,
1,political_efficacy_ability,politics,I have ability to participate in politics,,,,,q133,4pt_1agree,q134,4pt_1agree,q141,4pt_1agree,q133,4pt_1agree,pol_efficacy_ability,4pt_1high,W3+,W3+ q133. 4pt agree-disagree. Internal efficacy
1,political_efficacy_ability_w2,politics,I think I have the ability to participate in politics,,,q127,5pt_1closely,,,,,,,,,,,,
1,political_efficacy_care,politics,Govt doesn't care what people like me think,,,q106,4pt_1agree,,,,,,,,,,,,W2+. 4pt agree-disagree. External efficacy measure
1,political_efficacy_understand,politics,Politics/govt sometimes too complicated to understand,,,q103,4pt_1agree,q134,4pt_1agree,q135,4pt_1agree,,,q134,4pt_1agree,pol_efficacy_understand,4pt_1high,W2+,W2+. 4pt agree-disagree. Internal efficacy measure
